countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
B-UpfieldBrunswickRd, 4.7, 2017-03-07 07:00:00, 120, bicycle riders, NA, 1187, 1026, 8, 60, 93, 64, 46, 46, 5, 
B-UpfieldBrunswickRd, 4.7, 2014-03-04 07:00:00, 120, bicycle riders, NA, 1074, 892, 32, 89, 61, 106, 53, 53, 16, 
B-UpfieldBrunswickRd, 4.7, 2008-03-04 07:00:00, 120, bicycle riders, NA, 543, 465, 35, 21, 27, 21, 29, 486, 7, 
