countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
BE-MerriCrkSumner, 6.3, 2016-03-01 07:00:00, 120, bicycle riders, NA, 253, 139, 69, 32, 13, 65, 37, 37, 33, 
BE-MerriCrkSumner, 6.3, 2014-03-04 07:00:00, 120, bicycle riders, NA, 203, 117, 58, 17, 11, 22, 42, 42, 24, 
