countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
C-HaigAvMorelandRd, 7.8, 2016-03-01 07:00:00, 120, bicycle riders, NA, 97, 26, 8, 6, 57, 0, 23, 23, 9, 
C-HaigAvMorelandRd, 7.8, 2012-03-06 07:00:00, 120, bicycle riders, NA, 80, 18, 7, 3, 52, 0, 32, 32, 13, 
C-HaigAvMorelandRd, 7.8, 2011-03-01 07:00:00, 120, bicycle riders, NA, 69, 14, 9, 4, 42, 0, 34, 34, 14, 
