countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
H-HiltonStWestSt, 14.7, 2016-03-01 07:00:00, 120, bicycle riders, NA, 2, 0, 1, 0, 1, 0, 1, 1, 1, 
H-HiltonStWestSt, 14.7, 2011-03-01 07:00:00, 120, bicycle riders, NA, 8, 2, 5, 0, 1, 0, 1, 1, 3, 
