countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
CN-ElizabethStBoyneSt, 10.9, 2015-03-03 07:00:00, 120, bicycle riders, NA, 42, 22, 8, 6, 6, 5, 3, 3, 11, 
CN-ElizabethStBoyneSt, 10.9, 2013-03-05 07:00:00, 120, bicycle riders, NA, 47, 22, 4, 14, 7, 18, 1, 1, 4, 
