countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
PVS-ReynoldsPdeReynardSt, 9.9, 2015-03-03 07:00:00, 120, bicycle riders, NA, 24, 4, 13, 1, 6, 3, 3, 3, 15, 
PVS-ReynoldsPdeReynardSt, 9.9, 2012-03-06 07:00:00, 120, bicycle riders, NA, 19, 6, 8, 0, 5, 0, 5, 5, 14, 
