countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
F-WyunaStYungeraSt, 12.4, 2015-03-03 07:00:00, 120, bicycle riders, NA, 9, NA, 9, 0, 0, NA, 0, 0, 4, 
F-WyunaStYungeraSt, 12.4, 2013-03-05 07:00:00, 120, bicycle riders, NA, 13, NA, 6, 1, 6, NA, 4, 4, 5, 
