countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
C-UpfieldMorelandRd, 7.1, 2015-02-26 07:00:00, 120, bicycle riders, NA, 406, 359, 16, 14, 17, 12, 27, 27, 8, 
C-UpfieldMorelandRd, 7.1, 2013-03-21 07:00:00, 120, bicycle riders, NA, 306, 218, 18, 33, 37, 23, 27, 27, 21, 
C-UpfieldMorelandRd, 7.1, 2011-03-29 07:00:00, 120, bicycle riders, NA, 327, 246, 17, 20, 44, 22, 22, 22, 9, 
C-UpfieldMorelandRd, 7.1, 2009-04-02 07:00:00, 120, bicycle riders, NA, 243, 181, 12, 23, 27, 17, 13, 13, 16, 
