countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
BE-JohnStGlenlyonRd, 5.4, 2016-03-01 07:00:00, 120, bicycle riders, NA, 382, 228, 43, 23, 88, 11, 61, 61, 46, 
BE-JohnStGlenlyonRd, 5.4, 2013-03-05 07:00:00, 120, bicycle riders, NA, 319, 188, 34, 14, 83, 13, 50, 50, 31, 
BE-JohnStGlenlyonRd, 5.4, 2010-12-07 07:00:00, 120, bicycle riders, NA, 205, 110, 26, 10, 59, 9, 42, 42, 16, 
