,2003,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OP-PascoeValeRdWinifredSt,,,,,2.0,0.0,,,4.0,,
OP-StationRdMeakerAv,,,,,,,2.0,,1.0,,3.0
OP-WaterlooStSnellGv,,,,,,,2.0,,2.0,,
PV-BurgandyStGaffneySt,,,,8.0,6.0,,,,12.0,,
PV-CumberlandRdEssexSt,,,,5.0,4.0,,,,5.0,,
PV-DerbyStGaffneySt,,,,,4.0,,17.0,,,16.0,
PV-LandellsRdKentRd,,,,,,,,3.0,,,
PV-WestStBoundaryRd,,,,,2.0,,6.0,,,,15.0
PVS-KernanAvTateSt,,,,,,2.0,,8.0,12.0,,
PVS-MelvilleRdMorelandRd,,,,28.0,,19.0,,,,16.0,
PVS-MelvilleRdRenyardSt,,,,,,,4.0,,12.0,,
PVS-MooneePondsCrkMorelandRd,,,,,,,14.0,,17.0,,
PVS-ReynoldsPdeReynardSt,,,,,,7.0,,,8.0,,
PVS-SussexStOHeaSt,,,,13.0,4.0,,,,17.0,,
SydneyRdWestRingRdTrail,,,,,,,,3.0,,,5.0
