,2003,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OP-PascoeValeRdWinifredSt,,,,,15.38,0.0,,,18.18,,
OP-StationRdMeakerAv,,,,,,,25.0,,20.0,,21.43
OP-WaterlooStSnellGv,,,,,,,22.22,,20.0,,
PV-BurgandyStGaffneySt,,,,18.18,15.38,,,,21.05,,
PV-CumberlandRdEssexSt,,,,27.78,26.67,,,,21.74,,
PV-DerbyStGaffneySt,,,,,12.5,,27.87,,,47.06,
PV-LandellsRdKentRd,,,,,,,,23.08,,,
PV-WestStBoundaryRd,,,,,9.09,,23.08,,,,42.86
PVS-KernanAvTateSt,,,,,,6.9,,9.09,24.49,,
PVS-MelvilleRdMorelandRd,,,,28.57,,26.76,,,,21.92,
PVS-MelvilleRdRenyardSt,,,,,,,12.12,,20.69,,
PVS-MooneePondsCrkMorelandRd,,,,,,,9.27,,10.9,,
PVS-ReynoldsPdeReynardSt,,,,,,36.84,,,33.33,,
PVS-SussexStOHeaSt,,,,35.14,12.12,,,,30.91,,
SydneyRdWestRingRdTrail,,,,,,,,7.89,,,20.83
