,2003,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OP-PascoeValeRdWinifredSt,,,,,13.0,9.0,,,22.0,,
OP-StationRdMeakerAv,,,,,,,8.0,,5.0,,14.0
OP-WaterlooStSnellGv,,,,,,,9.0,,10.0,,
PV-BurgandyStGaffneySt,,,,44.0,39.0,,,,57.0,,
PV-CumberlandRdEssexSt,,,,18.0,15.0,,,,23.0,,
PV-DerbyStGaffneySt,,,,,32.0,,61.0,,,34.0,
PV-LandellsRdKentRd,,,,,,,,13.0,,,
PV-WestStBoundaryRd,,,,,22.0,,26.0,,,,35.0
PVS-KernanAvTateSt,,,,,,29.0,,88.0,49.0,,
PVS-MelvilleRdMorelandRd,,,,98.0,,71.0,,,,73.0,
PVS-MelvilleRdRenyardSt,,,,,,,33.0,,58.0,,
PVS-MooneePondsCrkMorelandRd,,,,,,,151.0,,156.0,,
PVS-ReynoldsPdeReynardSt,,,,,,19.0,,,24.0,,
PVS-SussexStOHeaSt,,,,37.0,33.0,,,,55.0,,
SydneyRdWestRingRdTrail,,,,,,,,38.0,,,24.0
