countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
F-WilliamStAndersonRd, 14.7, 2016-03-01 07:00:00, 120, bicycle riders, NA, 7, 1, 3, 2, 1, 0, 0, 0, 3, 
F-WilliamStAndersonRd, 14.7, 2015-03-03 07:00:00, 120, bicycle riders, NA, 12, 0, 6, 1, 5, 0, 1, 1, 7, 
F-WilliamStAndersonRd, 14.7, 2011-03-01 07:00:00, 120, bicycle riders, NA, 2, 1, 0, 1, 0, 0, 0, 0, 2, 
