countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
C-MerriCrkMorelandRd, 8.2, 2016-03-01 07:00:00, 120, bicycle riders, NA, 275, 127, 66, 22, 60, 26, 43, 43, 37, 
C-MerriCrkMorelandRd, 8.2, 2014-03-04 07:00:00, 120, bicycle riders, NA, 227, 114, 51, 26, 36, 25, 42, 42, 30, 
