countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
PVS-MelvilleRdMorelandRd, 8.5, 2016-03-01 07:00:00, 120, bicycle riders, NA, 73, 26, 19, 7, 21, 6, 12, 12, 9, 
PVS-MelvilleRdMorelandRd, 8.5, 2012-03-06 07:00:00, 120, bicycle riders, NA, 71, 26, 17, 5, 23, 6, 11, 11, 7, 
PVS-MelvilleRdMorelandRd, 8.5, 2009-03-03 07:00:00, 120, bicycle riders, NA, 41, 16, 16, 2, 7, 1, 5, 26, 9, 
