countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
BE-MerriCrkBlythSt, 6.7, 2016-03-01 07:00:00, 120, bicycle riders, NA, 429, 191, 142, 31, 65, 52, 61, 61, 114, 
BE-MerriCrkBlythSt, 6.7, 2014-03-04 07:00:00, 120, bicycle riders, NA, 342, 134, 117, 27, 64, 52, 55, 55, 80, 
