countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
B-UpfieldDawsonSt, 5.3, 2017-03-07 07:00:00, 120, bicycle riders, NA, 651, 516, 51, 27, 57, 33, 47, 47, 52, 
B-UpfieldDawsonSt, 5.3, 2014-03-04 07:00:00, 120, bicycle riders, NA, 1074, 818, 78, 69, 109, 91, 96, 96, 70, 
B-UpfieldDawsonSt, 5.3, 2012-03-06 07:00:00, 120, bicycle riders, NA, 775, 614, 53, 41, 67, 46, 54, 54, 64, 
