countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
G-WidfordStWestRingRdTrail, 19.1, 2017-03-07 07:00:00, 120, bicycle riders, NA, 26, 1, 9, 7, 9, 7, 9, 9, 9, 
G-WidfordStWestRingRdTrail, 19.1, 2014-03-04 07:00:00, 120, bicycle riders, NA, 22, 4, 7, 6, 5, 7, 7, 7, 5, 
