countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
CN-UpfieldBoundaryRd, 11.2, 2015-03-03 07:00:00, 120, bicycle riders, NA, 51, 20, 11, 11, 9, 8, 5, 5, 6, 
CN-UpfieldBoundaryRd, 11.2, 2011-03-01 07:00:00, 120, bicycle riders, NA, 24, 11, 4, 3, 6, 3, 3, 3, 1, 
CN-UpfieldBoundaryRd, 11.2, 2008-03-04 07:00:00, 120, bicycle riders, NA, 12, 0, 4, 3, 5, 0, 3, 5, 4, 
