countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
CN-UpfieldBakersRd, 10.2, 2015-02-26 07:00:00, 120, bicycle riders, NA, 25, 3, 14, 5, 3, 3, 3, 3, 12, 
CN-UpfieldBakersRd, 10.2, 2013-03-21 07:00:00, 120, bicycle riders, NA, 16, 12, 0, 1, 3, 1, 0, 0, 0, 
CN-UpfieldBakersRd, 10.2, 2011-03-29 07:00:00, 120, bicycle riders, NA, 60, 6, 11, 2, 41, 1, 44, 44, 10, 
