countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
F-McBrydeStVictorySt, 13.2, 2015-03-03 07:00:00, 120, bicycle riders, NA, 12, 2, 3, 5, 2, 5, 1, 1, 3, 
F-McBrydeStVictorySt, 13.2, 2011-03-01 07:00:00, 120, bicycle riders, NA, 5, 3, 1, 1, 0, 1, 0, 0, 1, 
