countsite, dist_from_cbd, time, bin_duration, counting, gender, total, from_north, from_east, from_south, from_west, to_north, to_east, to_south, to_west, 
G-PascoeValeRdGlenroyRd, 16.1, 2015-03-03 07:00:00, 120, bicycle riders, NA, 15, 5, 4, 2, 4, 1, 8, 8, 3, 
G-PascoeValeRdGlenroyRd, 16.1, 2012-03-06 07:00:00, 120, bicycle riders, NA, 11, 5, 2, 2, 2, 1, 5, 5, 2, 
G-PascoeValeRdGlenroyRd, 16.1, 2010-03-02 07:00:00, 120, bicycle riders, NA, 19, 1, 2, 8, 8, 5, 12, 12, 1, 
